# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732768.16667 -33.00000 -35.92551 -32.29551 -5.23415 592.00000 586.61367 395.20000
732768.20833 -47.00000 -41.83127 -30.08688 -6.31463 573.00000 570.67296 403.64000
732768.25000 -41.00000 -43.80019 -25.87440 -8.60809 572.00000 556.84335 409.60000
732768.29167 -33.00000 -41.06621 -26.15817 -11.19829 554.00000 542.35141 410.96000
732768.33333 -31.00000 -37.89728 -27.28517 -16.07203 557.00000 558.18730 406.36000
732768.37500 -28.00000 -41.14694 -29.41338 -21.30584 561.00000 563.03553 406.12000
732768.41667 -35.00000 -40.52332 -28.60509 -25.91276 565.00000 555.74130 416.80000
732768.45833 -32.00000 -39.37340 -28.41124 -26.45986 587.00000 551.22896 426.08000
732768.50000 -32.00000 -38.47296 -30.73902 -28.38710 608.00000 584.28576 433.20000
732768.54167 -28.00000 -36.53152 -32.15707 -24.69193 628.00000 607.49547 438.52000
732768.58333 -23.00000 -34.77108 -30.80335 -22.02712 637.00000 602.96172 450.44000
732768.62500 -22.00000 -34.96177 -31.46604 -20.38888 634.00000 605.02444 468.80000
732768.66667 -28.00000 -35.03123 -33.54694 -19.96452 621.00000 599.51820 490.56000
732768.70833 -29.00000 -33.68362 -34.94914 -22.28115 625.00000 594.23003 515.44000
732768.75000 -26.00000 -33.26356 -32.95151 -27.58117 639.00000 608.40875 526.52000
732768.79167 -23.00000 -35.20297 -30.32277 -25.21217 648.00000 636.19700 526.48000
732768.83333 -22.00000 -35.00232 -31.04597 -20.51036 649.00000 643.63096 526.00000
732768.87500 -24.00000 -35.79065 -31.70617 -17.44780 638.00000 626.91362 535.36000
732768.91667 -29.00000 -37.53672 -31.06140 -16.09802 627.00000 614.21517 540.88000
732768.95833 -30.00000 -38.92661 -35.17528 -15.95933 620.00000 591.19895 524.48000
732769.00000 -26.00000 -37.96061 -34.16540 -16.81792 604.00000 603.80565 543.20000
732769.04167 -24.00000 -35.29961 -32.02771 -13.23100 597.00000 599.71322 580.32000
732769.08333 -26.00000 -32.77868 -31.62416 -13.10396 597.00000 597.39120 588.00000
732769.12500 -28.00000 -32.18956 -31.06910 -9.93049 611.00000 577.27373 588.00000
732769.16667 -30.00000 -32.09755 -30.11860 -8.85972 585.00000 577.22344 588.00000
732769.20833 -28.00000 -28.90291 -29.07101 -9.21099 598.00000 590.69523 586.44000
732769.25000 -25.00000 -28.14513 -27.52245 -15.27307 584.00000 590.48254 581.88000
732769.29167 -22.00000 -27.47745 -27.00488 -20.07873 595.00000 589.28514 579.52000
732769.33333 -21.00000 -27.28807 -25.68098 -23.10395 591.00000 592.84317 576.36000
732769.37500 -20.00000 -27.21290 -25.46370 -23.39723 602.00000 584.29983 567.80000
